id	net_time	start_time	end_time	op	wf_curr_app	userid	status	user_type	comments	appid	grID	internalfileid	clientid	log_id
931	4.21000000	20230330141648	20230330141652	Caricamento Pagina	XXX	LFINI	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000000924
2206	4.21000000	20230331113351	20230331113355	ClientsFunctions.asp --> Function getPreviousDisbursementsTable	yyy	FCATANIA	GROrderMonitoring	I	yyy	GuaranteeRequest	GR000000199223	2808FID	CL000000004393	LT000000002188
11596	4.21000000	20230412115430	20230412115434	Caricamento Pagina	XXX	MSCARINZI	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000011513
9521	4.21000000	20230406155329	20230406155333	Caricamento Pagina	XXX	MSCARINZI	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000009450
11966	4.19000000	20230412141941	20230412141945	Caricamento Pagina	XXX	NBOVA	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000011883
6220	4.19000000	20230404161908	20230404161912	Caricamento Pagina	XXX	DCARANGELO	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000006177
4875	4.19000000	20230403162453	20230403162457	Caricamento Pagina	XXX	FRINALDI	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000004839
8086	4.19000000	20230405114430	20230405114434	Caricamento Pagina	XXX	SDELGOBBO	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000008022
6167	4.18000000	20230404161143	20230404161147	Caricamento Pagina	XXX	MSCARINZI	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000006124
11885	4.18000000	20230412133150	20230412133154	GuaranteeRequestDetail.asp --> Sub SendRecord	#WF0500A	DDESIMONE	GRISTVerification	I	yyy	GuaranteeRequest	GR000000295129	9790FID	CL000000013500	LT000000011802
9542	4.18000000	20230406163251	20230406163256	Caricamento Pagina	XXX	MSCARINZI	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000009471
9361	4.18000000	20230406142455	20230406142500	Caricamento Pagina	XXX	MSCARINZI	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000009290
